node1,node2,label
"BULIK, T","CASTROTIRADO, AJ",0
"BERTOU, X","WAGNER, S",0
"GORSKI, K","ADE, P",0
"KIRKPATRICK, JD","KOBAYASHI, N",0
"ROWELL, GP","OSCOZ, A",0
"MORALES, J","NUSSINOV, S",1
"BARTLETT, JG","PELLEGRINI, PS",0
"SUNYAEV, R","COPPI, P",0
"HILL, RJ","MCLEAN, IS",0
"MONTANARI, E","GORJIAN, V",0
"LEHNER, M","RIESS, AG",0
"CONNAUGHTON, V","KIPPEN, RM",1
"WEGNER, G","EVANS, AS",0
"VIDALMADJAR, A","COUTURES, C",1
"RUSH, B","WAMSTEKER, W",0
"AJHAR, EA","RIESS, AG",0
"PIETSCH, W","ENGLHAUSER, J",1
"VELDE, JCVD","WILKINSON, CR",1
"LOBANOV, AP","LATIMER, GE",0
"JONES, TW","DAVIDSON, K",0
"PRESTON, RA","KEDZIORACHUDCZER, L",0
"ELLIS, RS","BALOGH, ML",0
"GAZTANAGA, E","CHABRIER, G",0
"PEDERSEN, H","KOSHUT, TM",0
"LASOTA, J","NOVIKOV, ID",0
"CANNON, R","COCCO, V",0
"YANAGISAWA, T","BALAM, D",0
"BAILYN, C","YU, W",0
"LICHTENTHAELER, J","PRZYGODDA, F",0
"QUINN, PJ","MATSUYAMA, T",0
"HEAP, SR","MALUMUTH, EM",1
"PACKHAM, C","FREDERICKS, DD",0
"READHEAD, ACS","HARRISON, FA",0
"VETTOLANI, G","LIVIO, M",0
"GRIFFITHS, RE","ALMAINI, O",1
"FABIAN, A","SEREGO, SD",0
"GRINDLAY, J","KAARET, P",1
"ROTS, AH","SAITO, Y",1
"DEZOTTI, G","PUGET, J",0
"MARSHALL, SL","SPOONER, NJC",0
"INOUE, H","TAKAHASHI, T",1
"SCHAEFER, BE","LIDMAN, C",0
"KROLIK, JH","SERGEEVA, EA",0
"SWANK, J","FERGUSON, DH",0
"CARTER, BS","FORD, HC",0
"BARTH, AJ","OPPENHEIMER, B",0
"PANAGIA, N","HAMUY, M",0
"PALAZZI, E","GIOIA, I",0
"MOSCARDINI, L","MURANTE, G",0
"JOHNSON, C","TRIBBLE, R",1
"BENNETT, DP","GORDON, KD",0
"NARANJO, O","NEMIROFF, R",0
"FOLTZ, CB","HUGHES, DH",0
"NISHIKAWA, D","RATTENBURY, N",0
"SCHNEIDER, P","FALCO, EE",0
"BUCKLEY, SBJ","KNAPP, J",0
"MONTUORI, M","VAUGLIN, I",0
"ODEWAHN, SC","UDOMPRASERT, P",0
"CHAFFEE, F","CASTROTIRADO, A",0
"BOTTINELLI, L","VERHODANOV, O",0
"LOH, EC","OHNISHI, M",1
"XU, W","YOUNG, CK",0
"PEACOCK, J","SPOON, HWW",0
"PEROLA, GC","LESSARD, RW",0
"DEY, A","WEI, JY",0
"MACRI, LM","MALIN, DF",0
"DOPITA, M","BARNES, D",0
"GRAHAM, JR","LIDMAN, C",0
"ZHAO, H","RIX, HW",0
"BRIGGS, MS","MCMAHON, RG",0
"BRAECKELEER, LD","KOHLMEYER, B",0
"HJORTH, J","MALKAN, MA",0
"DOWNES, D","GENZEL, R",1
"ROTTGERING, HJA","VISSER, A",1
"KERKWIJK, MHV","FASSIA, A",0
"COOK, KH","WELCH, DL",1
"BUCHHAVE, L","STEFANIK, RP",0
"FRINK, S","KNEER, R",0
"CHARLES, PA","PIRO, L",0
"VETTOLANI, G","WATSON, BM",0
"BALEGA, Y","HARTNER, G",0
"DANZIGER, J","CASTROTIRADO, AJ",0
"SHIOMI, A","SATO, S",0
"GAUCHEREL, C","SONNEBORN, G",0
"PORRATA, R","BALTAY, C",1
"MAZZALI, PA","WILLOTT, CJ",0
"ROVERO, AC","CRISWELL, S",0
"PIRO, L","FUENMAYOR, F",0
"FABIAN, AC","SOBRITO, G",0
"MORAN, EC","STERN, D",0
"HAKKILA, J","VARENDORFF, M",0
"CUI, W","IANNA, P",0
"GARCIA, MR","CARAVEO, P",0
"OSTENSEN, R","SAGAR, R",0
"STIRPE, GM","SERGEEVA, EA",1
"SADLER, EM","AKERLOF, C",0
"GERIN, M","SHAFER, RA",0
"CANNON, R","SOFFITTA, P",0
"TAVANI, M","KORESKO, C",0
"IBATA, R","CHAPMAN, SC",0
"KOLLGAARD, RI","KOOL, MD",0
"LOEB, A","CRESS, CM",0
"FAZIO, GG","QUENBY, JJ",0
"WAXMAN, E","DIERCKS, A",0
"HOOK, IM","SMITH, DA",0
"HOLTZMAN, JA","DOHMPALMER, RC",0
"PIETRONERO, L","TEERIKORPI, P",1
"BRANDT, WN","FRANCESCO, GD",0
"PALAZZI, E","TOSTI, G",0
"CHAFFEE, F","RIESS, AG",0
"SMITH, JD","JUI, CC",1
"OUKBIR, J","AMRAM, P",0
"KULKARNI, S","NEMIROFF, R",0
"TANVIR, NR","EDGE, A",0
"MAMON, GA","BATZ, BD",1
"HIX, WR","PIRO, L",0
"ELBERT, JW","CHEN, GF",1
"BARTOLINI, C","MAZETS, E",0
"WOOD, MA","TOMANEY, A",0
"ELBAZ, D","MASON, KO",0
"COURVOISIER, TJL","LEAHY, DA",0
"LUCAS, RA","MONREAL, A",0
"FRENK, CS","ROCHA, OLG",0
"AFONSO, C","NOORT, MV",0
"GROOM, D","GIANNUZZO, E",0
"GREINER, J","GAETZ, TJ",0
"NICASTRO, F","COLLINA, P",0
"VIDALMADJAR, A","ROSTAS, F",1
"BRIGGS, MS","KATZ, JI",0
"AXON, DJ","PETRO, L",0
"DOUBLIER, V","NANKIVELL, GR",0
"KOSHUT, T","FIUME, PSDD",0
"ISHIKAWA, F","FOWLER, JW",0
"DOUBLIER, V","BARBIELLINI, G",0
"FABER, SM","GUNDERSEN, JO",0
"GOLDHABER, G","FABBRO, S",1
"TANVIR, N","BALAM, D",0
"SCHAAB, C","WEBER, F",1
"GUARNIERI, A","GORJIAN, V",0
"KINNUNEN, T","MOILANEN, M",1
"BREWER, J","MAGEE, DK",0
"BAND, DL","UEDA, Y",0
"GRAY, J","FUJII, H",0
"MUSHOTZKY, R","LEIGHLY, KM",1
"COOK, KH","GALYAM, A",0
"WELCH, DL","KIFUNE, T",0
"COOK, KH","DOBCSANYI, P",0
"LESQUOY, E","CHAR, S",1
"SANTANGELO, A","ORTEGA, V",0
"TAKALO, L","SILLANPAA, A",1
"NANKIVELL, GR","KUSHIDA, J",0
"STEVENS, JA","GRIFFIN, MJ",1
"SERJEANT, S","VALENTINE, H",0
"ALVES, DR","HAINAUT, OR",0
"LEE, B","GISLER, G",1
"CAON, N","HOOK, R",0
"SATO, H","OHNISHI, M",0
"ZWEERINK, J","MATTOX, JR",0
"SMAIL, I","STEIDEL, CC",0
"GOROSABEL, J","PRIEDHORSKY, B",0
"RICH, J","MANSOUX, B",1
"LEIBUNDGUT, B","CLINE, T",0
"GRILLMAIR, C","BAFFA, C",0
"FEGAN, DJ","BUCKLEY, JH",1
"DAVIS, M","RAPPOPORT, S",0
"KITAMURA, A","RONEN, S",0
"MIRALDAESCUDE, J","WHITE, M",0
"WEX, N","KLEIN, B",0
"OGIO, S","RAYNER, SM",0
"MIYAMOTO, M","CHAFFEE, FH",0
"TELTING, J","BALSANO, R",0
"STEEGHS, D","HOWELL, S",1
"MARASCHI, L","TOSTI, G",1
"ILLINGWORTH, GD","FESEN, RA",0
"NICASTRO, L","HAKALA, PJ",0
"CLOCCHIATTI, A","PENG, CY",0
"URRY, CM","MURAKI, Y",0
"CECA, RD","BROTHERTON, MS",0
"SAHA, A","FRUCHTER, A",0
"GONZALEZ, JF","MAGEE, DK",0
"TREMAINE, S","WALSH, J",0
"LAMB, DQ","DRELL, PS",0
"BLANCHARD, A","LANTERI, L",0
"BUCKLEY, D","MONTAGNI, F",0
"TORII, R","LAURENCE, S",0
"SILLS, A","JONES, BF",1
"DOTANI, T","PETRY, C",0
"KRISTEN, H","DICOCCO, G",0
"CLINE, TL","KUIPER, L",0
"HURLEY, K","LAURENT, P",0
"UENO, S","PAPADAKIS, I",0
"SALVATI, M","PIRAINO, S",0
"LEE, BC","MASETTI, N",0
"VIGROUX, L","HARWIT, M",0
"MAZETS, EP","KEHOE, R",0
"WALSH, W","WEBSTER, RL",0
"GEBHARDT, K","GARNAVICH, PM",0
"SOMMERS, P","SONG, C",1
"KING, L","MAZZALI, P",0
"INGROSSO, G","JETZER, P",1
"COURBIN, F","OLSEN, O",0
"LOONEY, LW","ROSENTHAL, D",1
"INOUE, N","SAKUMOTO, K",1
"WILKINSON, PN","MENTEN, KM",0
"LUGARO, M","CHIEFFI, A",0
"GOLDRING, G","TRIBBLE, R",1
"BONNELL, JT","HANLON, LO",0
"RUMSEY, NJ","KUSHIDA, J",0
"MALAGUTI, G","BOEHNHARDT, H",0
"GILLANDERS, GH","HILLS, J",0
"PEREZMERCADER, J","GOMEZ, JF",1
"FORTINI, P","ALLEN, ZA",1
"BARCONS, X","PIZZICHINI, G",0
"ELVIS, M","ALDCROFT, T",0
"NAVASCUES, DBY","SONG, I",1
"REISS, D","ALLEN, WH",1
"UEMIZU, K","FARESE, PC",0
"GREINER, J","PIRO, L",1
"BAKER, JC","MUKHERJEE, P",0
"ULRICH, MH","LATIMER, GE",0
"NOOREN, GJL","NOTEBOOM, CWJ",1
"LUPPINO, GA","CANNON, RD",0
"BARROW, JD","SEALEY, KM",0
"GARZON, F","STETSON, PB",0
"BAND, DL","TROTTER, CS",0
"LIDMAN, C","CHOKSHI, A",0
"KROLIK, JH","OBRIEN, PT",0
"RETZLAFF, J","BEISBART, C",0
"STETSON, PB","STUBBS, C",0
"KLIS, MVD","BURDERI, L",0
"GEORGE, I","PRONIK, VI",0
"DURRET, F","VERHAGEN, H",0
"CORNIDE, M","SANZFORCADA, J",1
"ISRAEL, GL","BREMER, M",0
"AL, E","HESSMAN, FV",0
"MOCHKOVITCH, R","GEORGII, R",0
"ZENDRI, J","ZENDRI, JP",0
"HOOK, IM","BECKETT, MG",0
"DEWDNEY, PE","CASORSO, RV",1
"FINK, HH","PEROLA, C",0
"PERSI, P","MORRIS, M",0
"SARI, R","GOODRICH, RW",1
"LEVENTHAL, M","NEMIROFF, R",0
"NAVARRO, JF","LEDLOW, MJ",0
"SUGIYAMA, T","HARA, T",0
"CONCONI, P","BRAUNINGER, W",1
"OMONT, A","LAGACHE, G",1
"CHEN, F","LIN, T",1
"BRAATZ, JA","IYOMOTO, N",1
"PREECE, RD","SMITH, MJS",0
"SUNYAEV, R","EMMET, W",0
"GHISELLINI, G","MANNUCCI, F",0
"MAO, S","MATHESON, T",0
"KURAMOCHI, K","SHINOZAKI, K",0
"UTTLEY, P","SMITH, M",0
"GROOM, DE","CASTRO, PG",1
"CHURAZOV, EM","TERRELL, J",0
"RAMELLA, M","GUAINAZZI, M",0
"MAGAIN, P","CLASEN, J",1
"KAVANAGH, R","SCHWAB, W",0
"GOROSABEL, J","LI, P",0
"KELSON, DD","DOUBLIER, V",0
"CHIAPPETTI, L","TAKALO, LO",0
"BRINK, P","HALLER, E",1
"MOULD, JR","TRAN, K",0
"ALVES, D","GAL, R",0
"ZEPF, SE","LEE, MG",0
"BRIGGS, MS","JONKER, PG",0
"OLIVER, SJ","SIEBENMORGEN, R",0
"KOUVELIOTOU, C","MULLER, J",0
"BRYNILDSEN, N","LEIFSEN, T",1
"BRIGGS, M","BRUYN, AGD",0
"PETERSON, BA","REINSCH, K",0
"PETERSON, BM","HARRISON, FA",0
"BEGELMAN, MC","HEINDL, WA",1
"PETERSON, B","MCGOWAN, KE",0
"RODGERS, AW","SCHOMMER, RA",0
"KLYPIN, A","ROSATI, P",0
"JETZER, P","BUCKLEY, D",0
"FIUME, PSDD","SEGRETO, ASA",0
"MARTIN, DR","SAVINE, C",0
"HAU, GKT","LOAN, AJ",1
"PAIN, R","CASTRO, PG",1
"OKE, JB","CHATY, S",0
"WELCH, DL","STIAVELLI, M",1
"HONDA, M","RUMSEY, N",0
"BORYS, C","SHAPLEY, AE",0
"HILL, GM","MARCHENKO, SV",1
"FIORE, F","CAPETTI, A",0
"STERKEN, C","GIEREN, W",1
"VIDALMADJAR, A","GRADY, J",0
"REID, IN","ODA, S",0
"CLINE, T","TINNEY, C",0
"BURNS, JO","BODE, P",0
"CAPACCIOLI, M","WOOD, P",0
"MEI, S","COLES, P",0
"GOLDHABER, G","STERN, D",0
"GIBSON, BK","POPOWSKI, P",0
"CHIABERGE, M","COSTA, E",0
